Unnamed: 0,casa,tarifa,alfa,conf_tip,cargas,fit_min,fit_med,fit_max,std_dev,consumo,custo_min,custo_med,custo_max,target,conf_min,conf_med,conf_max,t_med,temp,umidade,humor,omega,rel_alt
2023-01-21 00:02:33,93,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,12.2,13.2,14.5,13.8,0.48,0.7,0.82,0.714,19.4,86.9,4.8,0.26,0
2023-01-21 00:02:34,94,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.59,3.73,4.11,4.04,0.93,0.96,0.98,0.0963,36.7,44.5,8.3,0.5,0
2023-01-21 00:02:35,95,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,12.2,13.2,14.5,13.8,0.48,0.7,0.82,0.721,1.9,65.0,5.6,0.16,0
2023-01-21 00:02:36,96,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.59,3.73,4.11,4.04,0.93,0.96,0.98,0.0951,20.6,25.4,4.6,0.32,0
2023-01-21 00:02:37,97,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,12.2,13.2,14.5,13.8,0.48,0.7,0.82,0.728,40.7,24.3,5.9,0.68,0
2023-01-21 00:02:38,98,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.59,3.73,4.11,4.04,0.93,0.96,0.98,0.0952,28.0,14.1,4.0,0.56,0
2023-01-21 00:02:39,99,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,12.2,13.2,14.5,13.8,0.48,0.7,0.82,0.726,33.4,39.0,4.7,0.6,0
2023-01-21 00:02:40,100,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.59,3.73,4.11,4.04,0.93,0.96,0.98,0.0968,17.2,82.6,9.0,0.16,0
2023-01-22 01:01:37,1,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0019,4.86,4.24,4.24,4.24,4.24,0.97,0.98,0.99,0.0823,28.2,87.7,9.0,0.33,1
2023-01-22 01:01:38,2,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,12.7,12.7,0.58,0.79,0.91,0.811,31.0,16.3,3.6,0.68,0
2023-01-22 01:01:39,3,TC,0.0,Fuzzy,Padrão B,1.18,1.23,1.27,0.025,14.5,12.7,12.7,12.7,12.7,0.62,0.81,0.94,0.969,40.7,50.0,1.6,0.84,1
2023-01-22 01:01:40,4,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0019,4.86,4.24,4.24,4.24,4.24,0.96,0.98,0.99,0.0744,26.1,13.3,1.5,0.52,1
2023-01-22 01:01:41,5,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.3,14.3,14.3,0.81,0.87,0.91,2.44,29.3,92.4,9.4,0.42,0
2023-01-22 01:01:42,6,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0018,4.86,4.24,4.24,4.24,4.24,0.97,0.98,0.99,0.0695,22.5,70.2,7.1,0.19,1
2023-01-22 01:01:43,7,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.3,14.3,14.3,0.81,0.87,0.91,2.43,20.5,21.5,9.7,0.17,0
2023-01-22 01:01:44,8,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0021,4.86,4.24,4.24,4.24,4.24,0.96,0.98,0.99,0.0799,26.8,35.0,3.6,0.53,1
2023-01-22 01:01:45,9,TC,0.0,No_fuzzy,Padrão C,1.27,1.28,1.28,0.0021,4.86,4.24,4.24,4.24,4.24,0.96,0.98,0.99,0.0702,26.1,29.4,8.0,0.21,0
2023-01-22 01:01:46,10,TC,0.0,Fuzzy,Padrão B,1.18,1.24,1.27,0.023,14.5,12.7,12.7,12.7,12.7,0.64,0.83,0.93,0.682,22.6,89.9,1.5,0.63,1
2023-01-22 01:01:47,11,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.3,14.3,14.3,0.81,0.87,0.91,2.42,21.0,0.9,6.0,0.34,0
2023-01-22 01:01:48,12,TC,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0022,4.86,4.24,4.24,4.24,4.24,0.96,0.98,0.99,0.0644,33.3,0.2,3.7,0.68,1
2023-01-22 01:01:49,13,TC,0.0,No_fuzzy,Padrão C,1.27,1.28,1.28,0.0021,4.86,4.24,4.24,4.24,4.24,0.96,0.98,0.99,0.0698,19.2,74.6,2.3,0.54,0
2023-01-22 01:01:50,14,TC,0.0,Fuzzy,Padrão B,1.2,1.25,1.27,0.018,14.5,12.7,12.7,12.7,12.7,0.7,0.86,0.94,0.702,26.0,0.8,1.3,0.52,1
2023-01-22 01:01:51,15,TC,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0027,4.86,4.24,4.24,4.24,4.24,0.96,0.98,0.99,0.0781,33.1,8.9,4.3,0.6,1
2023-01-22 01:01:52,16,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,12.7,12.7,0.58,0.79,0.91,0.816,29.6,42.7,5.8,0.54,0
2023-01-22 01:01:53,17,TC,0.0,Fuzzy,Padrão B,1.22,1.25,1.27,0.015,14.5,12.7,12.7,12.7,12.7,0.77,0.88,0.96,0.729,16.2,32.3,1.7,0.45,1
2023-01-22 01:01:54,18,TC,0.0,No_fuzzy,Padrão C,1.27,1.28,1.28,0.0021,4.86,4.24,4.24,4.24,4.24,0.96,0.98,0.99,0.0694,35.7,92.4,9.1,0.63,0
2023-01-22 01:01:55,19,TC,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0055,14.5,12.7,12.7,12.7,12.7,0.91,0.96,0.99,0.555,8.0,48.5,2.1,0.16,1
2023-01-22 01:01:56,20,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,12.7,12.7,0.58,0.79,0.91,0.811,6.1,77.4,2.7,0.16,0
2023-01-22 01:01:57,21,TC,0.0,Fuzzy,Padrão B,1.25,1.27,1.28,0.0068,14.5,12.7,12.7,12.7,12.7,0.89,0.95,0.97,0.561,10.8,93.9,3.2,0.19,1
