,tarifa,alfa,conf_tip,cargas,fit_min,fit_med,fit_max,std_dev,custo_med,target,econ,conf_med,t_med
172,ToU,0.25,Fuzzy,L2,1.17,1.21,1.23,0.014,13.3,13.8,3.40%,94.03%,0.615
173,Fixa,0.0,No_fuzzy,L2,1.14,1.22,1.26,0.028,12.7,12.7,-0.00%,78.11%,0.848
174,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0028,14.3,14.3,0.00%,95.95%,1.83
175,Fixa,0.0,No_fuzzy,L1,1.22,1.24,1.26,0.0094,14.3,14.3,0.00%,85.42%,2.62
176,Fixa,0.0,Fuzzy,L2,1.25,1.27,1.28,0.0057,12.7,12.7,-0.00%,94.86%,0.535
177,ToU,1.0,Fuzzy,L1,1.08,1.16,1.27,0.056,13.2,15.8,16.32%,94.32%,2.12
178,ToU,1.0,No_fuzzy,L1,1.02,1.15,1.25,0.062,13.5,15.8,14.62%,81.06%,2.39
179,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0027,14.3,14.3,0.00%,95.65%,1.81
180,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0048,12.7,12.7,-0.00%,95.22%,0.553
181,Fixa,0.0,No_fuzzy,L1,1.22,1.24,1.26,0.011,14.3,14.3,0.00%,85.13%,2.23
182,ToU,1.0,Fuzzy,L2,0.947,1.04,1.11,0.056,13.2,13.8,4.42%,93.98%,0.816
183,Fixa,0.0,No_fuzzy,L1,1.23,1.25,1.26,0.0085,14.3,14.3,0.00%,87.19%,2.65
184,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0049,12.7,12.7,-0.00%,95.11%,0.538
185,Fixa,0.0,No_fuzzy,L2,1.14,1.22,1.26,0.034,12.7,12.7,-0.00%,75.45%,0.721
186,ToU,0.5,Fuzzy,L2,1.1,1.15,1.19,0.026,13.3,13.8,3.67%,94.06%,0.63
187,ToU,0.25,Fuzzy,L2,1.19,1.21,1.23,0.011,13.4,13.8,2.91%,93.95%,0.585
188,ToU,0.75,Fuzzy,L1,1.09,1.18,1.26,0.042,13.5,15.8,14.63%,94.43%,2.43
189,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0036,14.3,14.3,0.00%,95.51%,1.85
190,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0043,12.7,12.7,-0.00%,95.49%,0.566
191,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0059,12.7,12.7,-0.00%,94.96%,0.564
192,ToU,0.0,No_fuzzy,L2,1.16,1.22,1.27,0.024,14.2,13.8,-3.39%,78.24%,0.952
193,ToU,0.25,No_fuzzy,L1,1.18,1.21,1.24,0.018,13.5,15.8,14.24%,83.58%,2.63
194,Fixa,0.0,No_fuzzy,L3,1.15,1.21,1.25,0.026,12.7,12.7,-0.00%,74.43%,0.889
195,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0061,12.7,12.7,-0.00%,95.31%,0.542
196,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0066,12.7,12.7,-0.00%,95.22%,0.587
197,ToU,0.25,No_fuzzy,L2,1.12,1.17,1.21,0.024,13.5,13.8,1.68%,76.42%,0.872
198,ToU,0.25,Fuzzy,L3,1.18,1.21,1.23,0.015,13.4,13.8,2.86%,93.94%,0.622
199,ToU,0.5,No_fuzzy,L3,1.05,1.11,1.17,0.033,13.5,13.8,2.06%,68.68%,0.728
200,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0026,14.3,14.3,0.00%,96.18%,2.12
201,Fixa,0.0,No_fuzzy,L2,1.16,1.22,1.27,0.024,12.7,12.7,-0.00%,77.55%,0.775
202,ToU,0.75,Fuzzy,L2,1.02,1.09,1.15,0.037,13.3,13.8,3.53%,92.91%,0.734
203,ToU,0.75,No_fuzzy,L2,0.996,1.07,1.14,0.034,13.4,13.8,2.97%,70.44%,0.73
204,ToU,1.0,Fuzzy,L3,0.908,1.03,1.11,0.068,13.3,13.8,3.25%,93.59%,0.708
205,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0031,14.3,14.3,0.00%,95.44%,1.71
206,Fixa,0.0,No_fuzzy,L3,1.15,1.22,1.26,0.028,12.7,12.7,-0.00%,77.21%,0.856
207,ToU,0.5,No_fuzzy,L2,1.06,1.14,1.18,0.029,13.0,13.8,5.34%,75.92%,0.778
208,Fixa,0.0,No_fuzzy,L2,1.16,1.22,1.26,0.021,12.7,12.7,-0.00%,78.45%,0.895
209,ToU,1.0,No_fuzzy,L1,1.05,1.14,1.25,0.052,13.5,15.8,14.07%,80.99%,2.34
210,Fixa,0.0,Fuzzy,L1,1.26,1.27,1.28,0.0037,14.3,14.3,0.00%,95.45%,1.85
211,ToU,1.0,Fuzzy,L2,0.943,1.05,1.11,0.047,13.1,13.8,5.19%,93.98%,0.618
212,Fixa,0.0,Fuzzy,L2,1.27,1.27,1.28,0.0044,12.7,12.7,-0.00%,95.37%,0.59
213,Fixa,0.0,Fuzzy,L3,1.25,1.27,1.28,0.0065,12.7,12.7,-0.00%,94.71%,0.584
214,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0047,12.7,12.7,-0.00%,95.37%,0.581
215,ToU,0.25,Fuzzy,L3,1.17,1.21,1.24,0.015,13.2,13.8,3.88%,94.54%,0.647
216,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0048,12.7,12.7,-0.00%,95.62%,0.514
217,Fixa,0.0,No_fuzzy,L3,1.16,1.22,1.26,0.032,12.7,12.7,-0.00%,78.15%,0.935
218,ToU,0.75,Fuzzy,L3,1.02,1.1,1.15,0.039,13.2,13.8,4.36%,94.40%,0.625
219,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0031,14.3,14.3,0.00%,95.67%,1.75
220,ToU,0.0,No_fuzzy,L1,1.22,1.25,1.26,0.012,14.9,15.8,5.26%,85.95%,2.43
221,ToU,0.25,Fuzzy,L1,1.19,1.24,1.26,0.016,13.5,15.8,14.61%,94.59%,2.68
222,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0067,12.7,12.7,-0.00%,94.45%,0.516
223,ToU,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0049,14.1,13.8,-2.56%,95.63%,0.552
224,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0043,12.7,12.7,-0.00%,95.60%,0.544
225,Fixa,0.0,No_fuzzy,L3,1.17,1.22,1.25,0.02,12.7,12.7,-0.00%,77.00%,0.936
226,ToU,0.75,Fuzzy,L1,1.06,1.18,1.23,0.041,13.3,15.8,15.45%,94.33%,2.39
227,ToU,0.0,Fuzzy,L1,1.27,1.27,1.28,0.002,15.3,15.8,2.85%,95.89%,1.94
228,Fixa,0.0,No_fuzzy,L1,1.22,1.25,1.27,0.0086,14.3,14.3,0.00%,86.56%,2.38
229,ToU,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0022,15.3,15.8,2.74%,95.63%,1.79
