Unnamed: 0,casa,tarifa,alfa,conf_tip,cargas,fit_min,fit_med,fit_max,std_dev,consumo,custo_med,target,conf_med %,t_med,temp,umidade,humor,omega,rel_alt
2022-07-14 15:09:07,100,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.73,4.04,0.96,0.101,18.1,79.4,6.4,0.16,0
2022-07-15 16:07:11,1,Fixa,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0019,4.86,4.24,4.24,0.98,0.0801,11.9,67.0,7.9,0.16,1
2022-07-15 16:07:12,2,Fixa,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,0.79,0.852,16.5,82.9,5.2,0.16,0
2022-07-15 16:07:13,3,Fixa,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0062,14.5,12.7,12.7,0.95,0.637,3.0,59.5,7.0,0.18,1
2022-07-15 16:07:14,4,Fixa,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.3,0.87,2.57,22.9,23.4,5.6,0.44,0
2022-07-15 16:07:15,5,Fixa,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0018,4.86,4.24,4.24,0.98,0.082,0.6,75.6,9.1,0.16,1
2022-07-15 16:07:16,6,Fixa,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,0.79,0.84,1.1,83.9,3.2,0.16,0
2022-07-15 16:07:17,7,Fixa,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0059,14.5,12.7,12.7,0.96,0.594,3.2,21.8,9.1,0.16,1
2022-07-15 16:07:18,8,Fixa,0.0,Fuzzy,Padrão A,1.27,1.27,1.28,0.0024,16.4,14.3,14.3,0.96,1.85,2.2,63.0,8.4,0.16,1
2022-07-15 16:07:19,9,Fixa,0.0,Fuzzy,Padrão A,1.27,1.27,1.28,0.0027,16.4,14.3,14.3,0.96,1.81,11.6,69.7,6.7,0.17,1
2022-07-15 16:07:20,10,Fixa,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0016,4.86,4.24,4.24,0.98,0.0835,23.3,79.1,6.4,0.18,1
2022-07-15 16:07:21,11,Fixa,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0018,4.86,4.24,4.24,0.98,0.0787,14.8,44.0,1.8,0.4,1
2022-07-15 16:07:22,12,Fixa,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.3,0.87,2.51,31.3,59.6,6.5,0.53,0
2022-07-15 16:07:23,13,Fixa,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.002,4.86,4.24,4.24,0.98,0.0772,25.9,92.8,9.2,0.2,1
2022-07-15 16:07:24,14,Fixa,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,0.79,0.849,27.6,81.3,3.7,0.55,0
2022-07-15 16:07:25,15,Fixa,0.0,Fuzzy,Padrão B,1.21,1.25,1.27,0.013,14.5,12.7,12.7,0.87,0.81,31.1,72.4,8.1,0.52,1
2022-07-15 16:07:26,16,Fixa,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0022,4.86,4.24,4.24,0.98,0.0808,23.7,51.7,9.4,0.17,1
2022-07-15 16:07:27,17,Fixa,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,0.79,0.857,7.0,44.3,6.7,0.17,0
2022-07-15 16:07:28,18,Fixa,0.0,Fuzzy,Padrão B,1.2,1.25,1.28,0.017,14.5,12.7,12.7,0.86,0.813,29.6,87.2,3.7,0.53,1
2022-07-15 16:07:29,19,Fixa,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0068,14.5,12.7,12.7,0.96,0.56,4.1,54.8,6.0,0.16,1
