Unnamed: 0,casa,tarifa,alfa,conf_tip,cargas,fit_min,fit_med,fit_max,std_dev,consumo,custo_med,target,conf_med %,t_med,temp,umidade,humor,omega,rel_alt
2023-02-22,89,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,18.0,4.86,3.73,4.04,0.96,0.0953,21.3,62.9,9.7,0.18,0
2023-02-22,90,ToU,0.75,No_fuzzy,Padrão B,994.0,1.08,1.14,33.0,14.5,13.2,13.8,0.7,705.0,11.5,36.6,5.1,0.16,0
2023-02-22,91,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,18.0,4.86,3.73,4.04,0.96,0.0937,14.2,22.4,2.4,0.37,0
2023-02-22,92,ToU,0.75,No_fuzzy,Padrão B,994.0,1.08,1.14,33.0,14.5,13.2,13.8,0.7,699.0,3.5,77.7,4.6,0.16,0
2023-02-22,93,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,18.0,4.86,3.73,4.04,0.96,0.0936,3.2,56.9,1.5,0.16,0
2023-02-22,94,ToU,0.75,No_fuzzy,Padrão B,994.0,1.08,1.14,33.0,14.5,13.2,13.8,0.7,711.0,19.2,70.3,5.8,0.16,0
2023-02-22,95,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,18.0,4.86,3.73,4.04,0.96,0.0931,2.1,55.9,5.6,0.16,0
2023-02-22,96,ToU,0.75,No_fuzzy,Padrão B,994.0,1.08,1.14,33.0,14.5,13.2,13.8,0.7,0.71,10.7,50.0,2.2,0.19,0
2023-02-22,97,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,18.0,4.86,3.73,4.04,0.96,0.0945,38.8,86.2,4.2,0.83,0
2023-02-22,98,ToU,0.75,No_fuzzy,Padrão B,994.0,1.08,1.14,33.0,14.5,13.2,13.8,0.7,713.0,8.3,0.6,6.3,0.16,0
2023-02-22,99,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,18.0,4.86,3.73,4.04,0.96,0.0937,34.0,46.2,9.1,0.5,0
2023-02-22,100,ToU,0.75,No_fuzzy,Padrão B,994.0,1.08,1.14,33.0,14.5,13.2,13.8,0.7,707.0,7.7,3.3,7.7,0.16,0
2023-02-23,1,TC,0.0,No_fuzzy,Padrão C,1.27,1.28,1.28,0.0021,4.86,4.24,4.24,0.98,0.0705,28.6,39.1,5.6,0.52,0
2023-02-23,2,TC,0.0,Fuzzy,Padrão B,1.21,1.25,1.27,15.0,14.5,12.7,12.7,0.87,694.0,40.3,13.0,9.0,0.5,1
2023-02-23,3,TC,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0064,14.5,12.7,12.7,0.95,598.0,15.3,70.5,7.0,0.18,1
2023-02-23,4,TC,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0048,14.5,12.7,12.7,0.96,571.0,19.1,45.8,9.8,0.16,1
2023-02-23,5,TC,0.0,Fuzzy,Padrão B,1.21,1.24,1.27,15.0,14.5,12.7,12.7,0.85,755.0,33.3,71.6,9.4,0.59,1
2023-02-23,6,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0022,4.86,4.24,4.24,0.98,0.0801,19.7,69.4,3.7,0.47,1
2023-02-23,7,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0021,4.86,4.24,4.24,0.98,0.0794,31.5,20.1,9.4,0.47,1
